Date,Year,State,Age,Gender,Race,Armed,Threat Level,Flee,Longitude,Latitude
2015-02-23,2015,AL,16.0,Male,Black,gun,Attack,Not fleeing,-86.362,32.53
2015-02-23,2015,PA,42.0,Male,White,knife,Attack,Car,-75.433,40.632
2015-02-23,2015,NE,39.0,Male,White,unarmed,Other,Not fleeing,-95.933,41.244
2015-02-24,2015,WI,30.0,Male,White,knife,Attack,Not fleeing,-88.058,44.527
2015-02-25,2015,NV,43.0,Male,White,gun,Attack,Not fleeing,-115.055,36.241
2015-02-26,2015,FL,42.0,Male,Hispanic,gun,Attack,Foot,-81.95,28.104
2015-02-26,2015,CA,21.0,Male,Hispanic,knife,Other,Not fleeing,-122.414,37.751
2015-02-26,2015,MS,49.0,Male,White,unarmed,Other,Not fleeing,-89.092,30.425
2015-02-26,2015,GA,34.0,Female,White,gun,Attack,Car,-83.902,31.55
2015-02-26,2015,IN,31.0,Male,White,unarmed,Other,Not fleeing,-87.379,39.463
2015-02-27,2015,CA,27.0,Male,Hispanic,unarmed,Other,Not fleeing,-117.879,33.747
2015-02-28,2015,SC,24.0,Male,White,gun,Attack,Not fleeing,-82.408,34.633
2015-02-28,2015,MO,34.0,Male,Black,unarmed,Other,Car,-90.232,38.598
2015-02-28,2015,AZ,28.0,Female,Hispanic,knife,Other,Not fleeing,-110.99,32.23
2015-02-28,2015,MO,28.0,Male,Black,gun,Attack,Car,-92.294,38.946
2015-02-28,2015,NC,40.0,Male,Black,gun,Attack,Car,-77.548,35.918
2015-02-28,2015,AZ,37.0,Female,White,gun,Attack,Car,-114.451,33.619
2015-02-28,2015,MI,17.0,Male,White,unarmed,Attack,Not fleeing,-84.837,42.756
2015-03-01,2015,TX,35.0,Male,Asian,gun,Attack,Not fleeing,-95.622,29.704
2015-03-01,2015,MS,49.0,Male,White,gun,Attack,Not fleeing,-88.604,30.789
2015-03-01,2015,CA,43.0,Male,Black,unarmed,Attack,Not fleeing,-118.245,34.043
2015-03-02,2015,IL,20.0,Male,Black,gun,Other,Foot,-88.074,41.522
2015-03-03,2015,MD,25.0,Male,Black,gun,Attack,Not fleeing,-75.609,38.38
2015-03-03,2015,AZ,25.0,Male,White,knife,Attack,Not fleeing,-111.931,33.44
2015-03-04,2015,FL,26.0,Male,White,unarmed,Other,Not fleeing,-81.254,28.887
2015-03-04,2015,CA,28.0,Male,Asian,gun,Attack,Not fleeing,-121.286,37.948
2015-03-05,2015,WI,45.0,Male,Black,knife,Other,Not fleeing,-87.904,42.968
2015-03-05,2015,CA,36.0,Male,Hispanic,unarmed,Other,Car,-118.345,34.151
2015-03-05,2015,NE,34.0,Male,White,gun,Attack,Not fleeing,-96.682,40.875
2015-03-06,2015,WI,19.0,Male,Black,unarmed,Attack,Foot,-89.365,43.083
2015-03-06,2015,CO,37.0,Male,Black,unarmed,Other,Foot,-104.916,39.735
2015-03-07,2015,AZ,29.0,Male,White,gun,Attack,Not fleeing,-112.043,33.469
2015-03-08,2015,CA,43.0,Female,Black,knife,Other,Not fleeing,-117.94,33.819
2015-03-08,2015,OK,40.0,Male,Hispanic,gun,Attack,Not fleeing,-97.583,35.426
2015-03-09,2015,GA,27.0,Male,Black,unarmed,Other,Not fleeing,-84.267,33.88
2015-03-09,2015,NC,58.0,Male,White,gun,Attack,Not fleeing,-82.626,35.269
2015-03-09,2015,CO,46.0,Male,White,gun,Attack,Not fleeing,-109.01,40.246
2015-03-09,2015,FL,30.0,Male,Black,gun,Attack,Not fleeing,-80.749,28.351
2015-03-10,2015,OH,64.0,Male,Black,gun,Attack,Not fleeing,-81.641,41.45
2015-03-10,2015,LA,31.0,Male,Black,gun,Attack,Not fleeing,-91.169,30.536
2015-03-10,2015,GA,23.0,Male,White,knife,Attack,Not fleeing,-81.184,32.165
2015-03-10,2015,CA,37.0,Male,Hispanic,sword,Other,Car,-117.655,34.05
2015-03-11,2015,TN,31.0,Male,White,gun,Attack,Not fleeing,-90.0,35.158
2015-03-11,2015,CA,39.0,Male,Hispanic,gun,Attack,Not fleeing,-117.868,33.743
2015-03-11,2015,AZ,31.0,Male,White,toy weapon,Attack,Not fleeing,-114.026,35.204
2015-03-11,2015,AL,54.0,Male,White,gun,Attack,Not fleeing,-87.891,30.862
2015-03-11,2015,AL,53.0,Male,White,gun,Attack,Not fleeing,-86.849,33.417
2015-03-12,2015,DC,35.0,Male,Black,unarmed,Other,Not fleeing,-76.983,38.882
2015-03-13,2015,CA,41.0,Male,Hispanic,gun,Other,Other,-122.274,38.306
2015-03-13,2015,MO,59.0,Male,White,gun,Attack,Not fleeing,-94.487,38.947
2015-03-13,2015,CA,36.0,Male,White,knife,Attack,Not fleeing,-117.43,34.078
2015-03-13,2015,CA,32.0,Male,Hispanic,unarmed,Other,Foot,-118.229,33.971
2015-03-14,2015,WV,53.0,Male,White,knife,Other,Not fleeing,-80.596,40.331
2015-03-14,2015,WI,26.0,Male,White,gun,Attack,Car,-87.835,42.583
2015-03-14,2015,TX,29.0,Male,Hispanic,gun,Attack,Not fleeing,-98.536,29.513
2015-03-15,2015,MS,27.0,Male,White,machete,Other,Not fleeing,-90.303,31.326
2015-03-16,2015,MN,28.0,Male,White,gun,Attack,Not fleeing,-93.025,44.954
2015-03-16,2015,NC,52.0,Male,White,gun,Attack,Not fleeing,-81.242,35.204
2015-03-17,2015,OR,49.0,Male,White,gun,Attack,Not fleeing,-122.899,42.33
2015-03-17,2015,NC,24.0,Male,White,gun,Attack,Foot,-78.751,34.64
2015-03-17,2015,CA,24.0,Female,White,vehicle,Other,Not fleeing,-122.422,37.789
2015-03-17,2015,TX,20.0,Male,White,gun,Attack,Not fleeing,-95.104,30.815
2015-03-17,2015,CA,22.0,Male,Hispanic,unarmed,Other,Car,-121.504,38.682
2015-03-18,2015,AZ,49.0,Female,White,gun,Attack,Not fleeing,-112.203,33.582
2015-03-18,2015,FL,64.0,Male,White,gun,Attack,Not fleeing,-84.279,30.461
2015-03-18,2015,CA,47.0,Male,White,knife,Other,Not fleeing,-119.015,35.376
2015-03-19,2015,AL,39.0,Male,White,box cutter,Other,Not fleeing,-87.287,34.566
2015-03-19,2015,OH,18.0,Male,Black,unarmed,Attack,Not fleeing,-81.609,41.529
2015-03-19,2015,ID,31.0,Male,White,gun,Attack,Not fleeing,-116.58,43.704
2015-03-19,2015,FL,16.0,Male,Black,gun,Attack,Car,-81.68,30.379
2015-03-19,2015,WA,20.0,Male,White,unarmed,Attack,Not fleeing,-122.273,49.0
2015-03-19,2015,CA,36.0,Male,White,gun,Attack,Not fleeing,-119.336,35.355
2015-03-20,2015,LA,63.0,Male,Black,machete,Attack,Not fleeing,-90.265,29.993
2015-03-20,2015,OK,34.0,Male,White,gun,Attack,Not fleeing,-96.323,34.506
2015-03-20,2015,AZ,24.0,Male,Native,gun,Attack,Car,-109.138,36.466
2015-03-21,2015,AZ,21.0,Male,White,gun,Attack,Not fleeing,-112.001,34.713
2015-03-21,2015,NY,44.0,Male,White,gun,Attack,Car,-78.047,43.19
2015-03-21,2015,IN,60.0,Male,White,gun,Attack,Not fleeing,-87.073,39.534
2015-03-21,2015,OH,42.0,Male,White,gun,Attack,Not fleeing,-82.999,40.03
2015-03-22,2015,CA,37.0,Male,White,knife,Other,Not fleeing,-122.222,38.133
2015-03-22,2015,OR,36.0,Male,White,knife,Other,Foot,-122.53,45.506
2015-03-22,2015,NY,21.0,Male,Black,undetermined,Attack,Car,-73.238,40.74
2015-03-23,2015,CA,24.0,Male,Black,gun,Attack,Not fleeing,-121.959,37.361
2015-03-24,2015,VA,29.0,Male,Black,gun,Attack,Car,-76.37,36.819
2015-03-24,2015,CA,57.0,Male,White,gun,Attack,Not fleeing,-121.841,37.302
2015-03-24,2015,WI,38.0,Male,White,gun,Attack,Not fleeing,-88.475,43.782
2015-03-25,2015,GA,23.0,Male,Black,undetermined,Other,Car,-84.477,33.866
2015-03-25,2015,SC,27.0,Male,Black,gun,Attack,Foot,-79.462,33.819
2015-03-25,2015,CA,28.0,Male,Hispanic,gun,Attack,Foot,-118.292,33.94
2015-03-25,2015,AZ,63.0,Male,White,gun,Other,Not fleeing,-112.203,33.638
2015-03-26,2015,KS,53.0,Female,White,gun,Attack,Not fleeing,-94.91,38.818
2015-03-26,2015,CA,35.0,Male,Hispanic,knife,Other,Not fleeing,-118.271,33.793
2015-03-27,2015,CA,26.0,Female,Black,knife,Other,Not fleeing,-119.183,34.228
2015-03-27,2015,WV,42.0,Male,White,gun,Attack,Car,-78.841,39.469
2015-03-27,2015,MA,41.0,Male,Black,gun,Attack,Not fleeing,-71.089,42.313
2015-03-27,2015,CA,56.0,Male,White,gun,Attack,Not fleeing,-117.242,33.05
2015-03-27,2015,FL,39.0,Male,Black,knife,Other,Not fleeing,-80.328,27.435
2015-03-27,2015,CA,23.0,Male,Hispanic,toy weapon,Attack,Car,-119.003,35.396
2015-03-27,2015,MA,40.0,Male,White,gun,Attack,Foot,-71.878,42.056
2015-03-29,2015,KY,29.0,Male,Black,gun,Attack,Not fleeing,-85.889,37.735
2015-03-30,2015,OR,49.0,Male,White,gun,Attack,Not fleeing,-123.181,44.091
2015-03-31,2015,FL,36.0,Male,White,gun,Attack,Not fleeing,-82.49,28.102
2015-03-31,2015,TX,21.0,Male,Hispanic,toy weapon,Attack,Not fleeing,-94.971,29.733
2015-03-31,2015,MD,27.0,Female,Black,vehicle,Other,Car,-76.77,39.115
2015-04-01,2015,CA,37.0,Male,Black,gun,Attack,Not fleeing,-118.337,33.902
2015-04-01,2015,NJ,36.0,Male,White,knife,Attack,Not fleeing,-74.71,40.217
2015-04-02,2015,IL,32.0,Male,Black,gun,Attack,Foot,-90.582,41.5
2015-04-02,2015,OK,44.0,Male,Black,unarmed,Other,Not fleeing,-95.94,36.184
2015-04-02,2015,LA,27.0,Male,White,gun,Attack,Not fleeing,-92.407,31.346
2015-04-02,2015,IL,63.0,Male,White,gun,Attack,Not fleeing,-88.677,37.176
2015-04-03,2015,VA,38.0,Male,White,knife,Other,Not fleeing,-78.128,39.191
2015-04-04,2015,IL,17.0,Male,Black,gun,Attack,Foot,-87.845,42.452
2015-04-04,2015,CA,31.0,Male,Black,gun,Attack,Not fleeing,-117.852,33.836
